#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
32444,a09542,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,20300.0,20301.0
32445,A17174,01/03/2022 ,01/03/2022 ,01/05/2022 ,2,7840.0,7905.0
32446,d61628,01/03/2022 ,01/03/2022 ,01/04/2022 ,2,0.0,
32447,d51803,01/03/2022 ,01/03/2022 ,01/05/2022 ,2,0.0,0.0
32448,A17842,01/03/2022 ,01/03/2022 ,01/06/2022 ,3,4261.0,4577.0
32449,a18320,01/03/2022 ,01/03/2022 ,01/06/2022 ,3,2466.0,2466.0
32452,A15646,01/03/2022 ,01/11/2022 ,01/15/2022 ,4,7354.0,7374.0
32453,a15291,01/03/2022 ,01/11/2022 ,01/15/2022 ,4,5717.0,5747.0
32454,a11005,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,8241.0,8355.0
32455,A19401,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,9162.0,9194.0
32456,A17015,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,7498.0,7499.0
32458,A18447,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,1832.0,7509.0
32459,a11004,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,24149.0,24150.0
32460,A18520,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,1622.0,1669.0
32461,A17009,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,6812.0,6869.0
32462,a17493,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,4505.0,4569.0
32463,a05891,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,27323.0,27324.0
32464,a15291,01/03/2022 ,01/10/2022 ,01/10/2022 ,0,5682.0,5717.0
32465,A19411,01/03/2022 ,01/10/2022 ,01/10/2022 ,0,5500.0,5536.0
32466,A09296,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,18928.0,18935.0
32467,d73950,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,1.0,
32468,A17575,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,3688.0,3699.0
32469,A17106,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,6394.0,6452.0
32470,A18321,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,1843.0,1882.0
32471,d61628,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,0.0,
32472,A17396,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,4569.0,4761.0
32474,a08263,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,25076.0,25077.0
32475,a17495,01/03/2022 ,01/03/2022 ,01/03/2022 ,0,3844.0,3845.0
32476,A19230,01/03/2022 ,01/03/2022 ,01/04/2022 ,1,4095.0,4115.0
32477,A19416,01/03/2022 ,01/03/2022 ,01/04/2022 ,1,6225.0,6265.0
32478,A18319,01/03/2022 ,01/03/2022 ,01/04/2022 ,1,1595.0,1635.0
32480,a09541,01/03/2022 ,01/04/2022 ,01/04/2022 ,0,23469.0,23497.0
32483,a08263,01/03/2022 ,01/04/2022 ,01/04/2022 ,0,25077.0,25078.0
32485,070XPZ,01/03/2022 ,01/06/2022 ,01/06/2022 ,0,10049.0,10049.0
32486,A19401,01/03/2022 ,01/04/2022 ,01/04/2022 ,0,9195.0,9261.0
32487,D 56949,01/03/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32488,d73952,01/03/2022 ,01/10/2022 ,01/10/2022 ,0,0.0,0.0
32489,A20132,01/03/2022 ,01/24/2022 ,01/25/2022 ,1,1185.0,1195.0
32490,A20185,01/03/2022 ,01/24/2022 ,01/25/2022 ,1,384.0,384.0
32491,904xpx,01/03/2022 ,01/25/2022 ,01/25/2022 ,0,4296.0,4296.0
